transaction_id,order_id,customer_id,payment_date,amount,payment_status
TX0001,ORD0001,CUST0001,2026-08-21,750,SUCCESS
TX0002,ORD0002,CUST0002,2026-08-09,1200,SUCCESS
TX0003,ORD0003,CUST0003,2026-08-05,750,SUCCESS
TX0004,ORD0004,CUST0004,2026-08-18,750,SUCCESS
TX0005,ORD0005,CUST0005,2026-08-14,500,SUCCESS
TX0006,ORD0006,CUST0006,2026-08-03,1200,SUCCESS
TX0007,ORD0007,CUST0007,2026-08-17,5000,SUCCESS
TX0008,ORD0008,CUST0008,2026-08-18,1200,SUCCESS
TX0009,ORD0009,CUST0009,2026-08-21,3500,SUCCESS
TX0010,ORD0010,CUST0010,2026-08-08,3000,SUCCESS
TX0011,ORD0011,CUST0011,2026-08-09,500,SUCCESS
TX0012,ORD0012,CUST0012,2026-08-14,2000,SUCCESS
TX0013,ORD0013,CUST0013,2026-08-05,1200,SUCCESS
TX0014,ORD0014,CUST0014,2026-08-04,750,SUCCESS
TX0015,ORD0015,CUST0015,2026-08-04,2000,SUCCESS
TX0016,ORD0016,CUST0016,2026-08-20,1500,SUCCESS
TX0017,ORD0017,CUST0017,2026-08-15,3500,SUCCESS
TX0018,ORD0018,CUST0018,2026-08-13,750,SUCCESS
TX0019,ORD0019,CUST0019,2026-08-10,5000,SUCCESS
TX0020,ORD0020,CUST0020,2026-08-19,1200,SUCCESS
TX0021,ORD0021,CUST0021,2026-08-03,500,SUCCESS
TX0022,ORD0022,CUST0022,2026-08-08,1500,SUCCESS
TX0023,ORD0023,CUST0023,2026-08-08,750,SUCCESS
TX0024,ORD0024,CUST0024,2026-08-09,3000,SUCCESS
TX0025,ORD0025,CUST0025,2026-08-12,1000,SUCCESS
TX0026,ORD0026,CUST0026,2026-08-12,1200,SUCCESS
TX0027,ORD0027,CUST0027,2026-08-09,750,SUCCESS
TX0028,ORD0028,CUST0028,2026-08-21,1000,SUCCESS
TX0029,ORD0029,CUST0029,2026-08-08,1000,SUCCESS
TX0030,ORD0030,CUST0030,2026-08-13,1500,SUCCESS
TX0031,ORD0031,CUST0031,2026-08-18,1200,SUCCESS
TX0032,ORD0032,CUST0032,2026-08-11,500,SUCCESS
TX0033,ORD0033,CUST0033,2026-08-02,2000,SUCCESS
TX0034,ORD0034,CUST0034,2026-08-09,750,SUCCESS
TX0035,ORD0035,CUST0035,2026-08-19,2000,SUCCESS
TX0036,ORD0036,CUST0036,2026-08-21,3000,SUCCESS
TX0037,ORD0037,CUST0037,2026-08-21,3000,SUCCESS
TX0038,ORD0038,CUST0038,2026-08-09,1000,SUCCESS
TX0039,ORD0039,CUST0039,2026-08-18,3500,SUCCESS
TX0040,ORD0040,CUST0040,2026-08-19,2500,SUCCESS
TX0041,ORD0041,CUST0041,2026-08-19,2500,SUCCESS
TX0042,ORD0042,CUST0042,2026-08-08,1000,SUCCESS
TX0043,ORD0043,CUST0043,2026-08-16,750,SUCCESS
TX0044,ORD0044,CUST0044,2026-08-04,1000,SUCCESS
TX0045,ORD0045,CUST0045,2026-08-06,2500,SUCCESS
TX0046,ORD0046,CUST0046,2026-08-03,2500,SUCCESS
TX0047,ORD0047,CUST0047,2026-08-20,3000,SUCCESS
TX0048,ORD0048,CUST0048,2026-08-09,3500,SUCCESS
TX0049,ORD0049,CUST0049,2026-08-04,3500,SUCCESS
TX0050,ORD0050,CUST0050,2026-08-21,2000,SUCCESS
TX0051,ORD0051,CUST0051,2026-08-10,2500,SUCCESS
TX0052,ORD0052,CUST0052,2026-08-15,500,SUCCESS
TX0053,ORD0053,CUST0053,2026-08-09,3500,SUCCESS
TX0054,ORD0054,CUST0054,2026-08-17,750,SUCCESS
TX0055,ORD0055,CUST0055,2026-08-10,3500,SUCCESS
TX0056,ORD0056,CUST0056,2026-08-07,1000,SUCCESS
TX0057,ORD0057,CUST0057,2026-08-06,3500,SUCCESS
TX0058,ORD0058,CUST0058,2026-08-01,5000,SUCCESS
TX0059,ORD0059,CUST0059,2026-08-16,500,SUCCESS
TX0060,ORD0060,CUST0060,2026-08-12,1500,SUCCESS
TX0061,ORD0061,CUST0061,2026-08-08,500,SUCCESS
TX0062,ORD0062,CUST0062,2026-08-19,750,SUCCESS
TX0063,ORD0063,CUST0063,2026-08-16,750,SUCCESS
TX0064,ORD0064,CUST0064,2026-08-05,1000,SUCCESS
TX0065,ORD0065,CUST0065,2026-08-16,3500,SUCCESS
TX0066,ORD0066,CUST0066,2026-08-09,3500,SUCCESS
TX0067,ORD0067,CUST0067,2026-08-14,1200,SUCCESS
TX0068,ORD0068,CUST0068,2026-08-07,1500,SUCCESS
TX0069,ORD0069,CUST0069,2026-08-21,2000,SUCCESS
TX0070,ORD0070,CUST0070,2026-08-17,3000,SUCCESS
TX0071,ORD0071,CUST0071,2026-08-08,1200,SUCCESS
TX0072,ORD0072,CUST0072,2026-08-11,500,SUCCESS
TX0073,ORD0073,CUST0073,2026-08-18,1200,SUCCESS
TX0074,ORD0074,CUST0074,2026-08-08,500,SUCCESS
TX0075,ORD0075,CUST0075,2026-08-21,500,SUCCESS
TX0076,ORD0076,CUST0076,2026-08-03,500,SUCCESS
TX0077,ORD0077,CUST0077,2026-08-03,3500,SUCCESS
TX0078,ORD0078,CUST0078,2026-08-09,3000,SUCCESS
TX0079,ORD0079,CUST0079,2026-08-18,1000,SUCCESS
TX0080,ORD0080,CUST0080,2026-08-19,5000,SUCCESS
TX0081,ORD0081,CUST0081,2026-08-16,1200,SUCCESS
TX0082,ORD0082,CUST0082,2026-08-14,1200,SUCCESS
TX0083,ORD0083,CUST0083,2026-08-04,2500,SUCCESS
TX0084,ORD0084,CUST0084,2026-08-14,2500,SUCCESS
TX0085,ORD0085,CUST0085,2026-08-02,750,SUCCESS
TX0086,ORD0086,CUST0086,2026-08-13,2000,SUCCESS
TX0087,ORD0087,CUST0087,2026-08-08,1200,SUCCESS
TX0088,ORD0088,CUST0088,2026-08-18,3000,SUCCESS
TX0089,ORD0089,CUST0089,2026-08-14,1000,SUCCESS
TX0090,ORD0090,CUST0090,2026-08-15,1200,SUCCESS
TX0091,ORD0091,CUST0091,2026-08-15,3500,SUCCESS
TX0092,ORD0092,CUST0092,2026-08-02,3500,SUCCESS
TX0093,ORD0093,CUST0093,2026-08-03,1200,SUCCESS
TX0094,ORD0094,CUST0094,2026-08-14,3000,SUCCESS
TX0095,ORD0095,CUST0095,2026-08-07,2500,SUCCESS
TX0096,ORD0096,CUST0096,2026-08-06,2500,SUCCESS
TX0097,ORD0097,CUST0097,2026-08-13,1500,SUCCESS
TX0098,ORD0098,CUST0098,2026-08-10,2500,SUCCESS
TX0099,ORD0099,CUST0099,2026-08-18,3000,SUCCESS
TX0100,ORD0100,CUST0100,2026-08-07,1500,SUCCESS
TX0101,ORD0101,CUST0101,2026-08-07,500,SUCCESS
TX0102,ORD0102,CUST0102,2026-08-18,500,SUCCESS
TX0103,ORD0103,CUST0103,2026-08-11,500,SUCCESS
TX0104,ORD0104,CUST0104,2026-08-19,3000,SUCCESS
TX0105,ORD0105,CUST0105,2026-08-17,1000,SUCCESS
TX0106,ORD0106,CUST0106,2026-08-17,750,SUCCESS
TX0107,ORD0107,CUST0107,2026-08-03,5000,SUCCESS
TX0108,ORD0108,CUST0108,2026-08-08,2500,SUCCESS
TX0109,ORD0109,CUST0109,2026-08-19,1200,SUCCESS
TX0110,ORD0110,CUST0110,2026-08-20,500,SUCCESS
TX0111,ORD0111,CUST0111,2026-08-03,2500,SUCCESS
TX0112,ORD0112,CUST0112,2026-08-19,5000,SUCCESS
TX0113,ORD0113,CUST0113,2026-08-11,1500,SUCCESS
TX0114,ORD0114,CUST0114,2026-08-11,1200,SUCCESS
TX0115,ORD0115,CUST0115,2026-08-13,1000,SUCCESS
TX0116,ORD0116,CUST0116,2026-08-21,1500,SUCCESS
TX0117,ORD0117,CUST0117,2026-08-11,750,SUCCESS
TX0118,ORD0118,CUST0118,2026-08-15,5000,SUCCESS
TX0119,ORD0119,CUST0119,2026-08-04,750,SUCCESS
TX0120,ORD0120,CUST0120,2026-08-07,3500,SUCCESS
