exception_record_id,order_id,amount,settled_amount,difference,reconciliation_status
1,ORD0015,2000,1900.0,100.0,AMOUNT MISMATCH
2,ORD0020,1200,,,MISSING SETTLEMENT
3,ORD0030,1500,1400.0,100.0,AMOUNT MISMATCH
4,ORD0040,2500,,,MISSING SETTLEMENT
5,ORD0045,2500,2400.0,100.0,AMOUNT MISMATCH
6,ORD0060,1500,,,MISSING SETTLEMENT
7,ORD0075,500,400.0,100.0,AMOUNT MISMATCH
8,ORD0080,5000,,,MISSING SETTLEMENT
9,ORD0090,1200,1100.0,100.0,AMOUNT MISMATCH
10,ORD0100,1500,,,MISSING SETTLEMENT
11,ORD0105,1000,900.0,100.0,AMOUNT MISMATCH
12,ORD0120,3500,,,MISSING SETTLEMENT
13,ORD0121,,1500.0,,UNMATCHED SETTLEMENT
14,ORD0122,,1000.0,,UNMATCHED SETTLEMENT
15,ORD0123,,2000.0,,UNMATCHED SETTLEMENT
16,ORD0124,,1500.0,,UNMATCHED SETTLEMENT
17,ORD0125,,2000.0,,UNMATCHED SETTLEMENT
18,ORD0001,,750.0,,DUPLICATE SETTLEMENT
19,ORD0001,,750.0,,DUPLICATE SETTLEMENT
