transaction_id,order_id,customer_id,payment_date,amount,payment_status,settlement_id,settlement_date,settled_amount,settlement_status,difference,reconciliation_status
TX0001,ORD0001,CUST0001,2026-08-21,750,SUCCESS,ST0001,2026-08-22,750.0,SETTLED,0.0,MATCHED
TX0002,ORD0002,CUST0002,2026-08-09,1200,SUCCESS,ST0002,2026-08-10,1200.0,SETTLED,0.0,MATCHED
TX0003,ORD0003,CUST0003,2026-08-05,750,SUCCESS,ST0003,2026-08-08,750.0,SETTLED,0.0,MATCHED
TX0004,ORD0004,CUST0004,2026-08-18,750,SUCCESS,ST0004,2026-08-21,750.0,SETTLED,0.0,MATCHED
TX0005,ORD0005,CUST0005,2026-08-14,500,SUCCESS,ST0005,2026-08-15,500.0,SETTLED,0.0,MATCHED
TX0006,ORD0006,CUST0006,2026-08-03,1200,SUCCESS,ST0006,2026-08-04,1200.0,SETTLED,0.0,MATCHED
TX0007,ORD0007,CUST0007,2026-08-17,5000,SUCCESS,ST0007,2026-08-18,5000.0,SETTLED,0.0,MATCHED
TX0008,ORD0008,CUST0008,2026-08-18,1200,SUCCESS,ST0008,2026-08-21,1200.0,SETTLED,0.0,MATCHED
TX0009,ORD0009,CUST0009,2026-08-21,3500,SUCCESS,ST0009,2026-08-23,3500.0,SETTLED,0.0,MATCHED
TX0010,ORD0010,CUST0010,2026-08-08,3000,SUCCESS,ST0010,2026-08-11,3000.0,SETTLED,0.0,MATCHED
TX0011,ORD0011,CUST0011,2026-08-09,500,SUCCESS,ST0011,2026-08-10,500.0,SETTLED,0.0,MATCHED
TX0012,ORD0012,CUST0012,2026-08-14,2000,SUCCESS,ST0012,2026-08-16,2000.0,SETTLED,0.0,MATCHED
TX0013,ORD0013,CUST0013,2026-08-05,1200,SUCCESS,ST0013,2026-08-07,1200.0,SETTLED,0.0,MATCHED
TX0014,ORD0014,CUST0014,2026-08-04,750,SUCCESS,ST0014,2026-08-06,750.0,SETTLED,0.0,MATCHED
TX0015,ORD0015,CUST0015,2026-08-04,2000,SUCCESS,ST0015,2026-08-06,1900.0,SETTLED,100.0,AMOUNT MISMATCH
TX0016,ORD0016,CUST0016,2026-08-20,1500,SUCCESS,ST0016,2026-08-21,1500.0,SETTLED,0.0,MATCHED
TX0017,ORD0017,CUST0017,2026-08-15,3500,SUCCESS,ST0017,2026-08-16,3500.0,SETTLED,0.0,MATCHED
