settlement_id,order_id,settlement_date,settled_amount,settlement_status
ST0001,ORD0001,22-08-2026,750,SETTLED
ST0002,ORD0002,10-08-2026,1200,SETTLED
ST0003,ORD0003,08-08-2026,750,SETTLED
ST0004,ORD0004,21-08-2026,750,SETTLED
ST0005,ORD0005,15-08-2026,500,SETTLED
ST0006,ORD0006,04-08-2026,1200,SETTLED
ST0007,ORD0007,18-08-2026,5000,SETTLED
ST0008,ORD0008,21-08-2026,1200,SETTLED
ST0009,ORD0009,23-08-2026,3500,SETTLED
ST0010,ORD0010,11-08-2026,3000,SETTLED
ST0011,ORD0011,10-08-2026,500,SETTLED
ST0012,ORD0012,16-08-2026,2000,SETTLED
ST0013,ORD0013,07-08-2026,1200,SETTLED
ST0014,ORD0014,06-08-2026,750,SETTLED
ST0015,ORD0015,06-08-2026,1900,SETTLED
ST0016,ORD0016,21-08-2026,1500,SETTLED
ST0017,ORD0017,16-08-2026,3500,SETTLED
ST0018,ORD0018,16-08-2026,750,SETTLED
ST0019,ORD0019,12-08-2026,5000,SETTLED
ST0021,ORD0021,06-08-2026,500,SETTLED
ST0022,ORD0022,09-08-2026,1500,SETTLED
ST0023,ORD0023,10-08-2026,750,SETTLED
ST0024,ORD0024,12-08-2026,3000,SETTLED
ST0025,ORD0025,14-08-2026,1000,SETTLED
ST0026,ORD0026,15-08-2026,1200,SETTLED
ST0027,ORD0027,12-08-2026,750,SETTLED
ST0028,ORD0028,24-08-2026,1000,SETTLED
ST0029,ORD0029,10-08-2026,1000,SETTLED
ST0030,ORD0030,16-08-2026,1400,SETTLED
ST0031,ORD0031,21-08-2026,1200,SETTLED
ST0032,ORD0032,12-08-2026,500,SETTLED
ST0033,ORD0033,04-08-2026,2000,SETTLED
ST0034,ORD0034,10-08-2026,750,SETTLED
ST0035,ORD0035,20-08-2026,2000,SETTLED
ST0036,ORD0036,23-08-2026,3000,SETTLED
ST0037,ORD0037,22-08-2026,3000,SETTLED
ST0038,ORD0038,10-08-2026,1000,SETTLED
ST0039,ORD0039,20-08-2026,3500,SETTLED
ST0041,ORD0041,21-08-2026,2500,SETTLED
ST0042,ORD0042,11-08-2026,1000,SETTLED
ST0043,ORD0043,17-08-2026,750,SETTLED
ST0044,ORD0044,07-08-2026,1000,SETTLED
ST0045,ORD0045,09-08-2026,2400,SETTLED
ST0046,ORD0046,05-08-2026,2500,SETTLED
ST0047,ORD0047,23-08-2026,3000,SETTLED
ST0048,ORD0048,10-08-2026,3500,SETTLED
ST0049,ORD0049,06-08-2026,3500,SETTLED
ST0050,ORD0050,22-08-2026,2000,SETTLED
ST0051,ORD0051,11-08-2026,2500,SETTLED
ST0052,ORD0052,18-08-2026,500,SETTLED
ST0053,ORD0053,10-08-2026,3500,SETTLED
ST0054,ORD0054,20-08-2026,750,SETTLED
ST0055,ORD0055,13-08-2026,3500,SETTLED
ST0056,ORD0056,09-08-2026,1000,SETTLED
ST0057,ORD0057,09-08-2026,3500,SETTLED
ST0058,ORD0058,03-08-2026,5000,SETTLED
ST0059,ORD0059,17-08-2026,500,SETTLED
ST0061,ORD0061,09-08-2026,500,SETTLED
ST0062,ORD0062,20-08-2026,750,SETTLED
ST0063,ORD0063,19-08-2026,750,SETTLED
ST0064,ORD0064,08-08-2026,1000,SETTLED
ST0065,ORD0065,17-08-2026,3500,SETTLED
ST0066,ORD0066,12-08-2026,3500,SETTLED
ST0067,ORD0067,17-08-2026,1200,SETTLED
ST0068,ORD0068,09-08-2026,1500,SETTLED
ST0069,ORD0069,23-08-2026,2000,SETTLED
ST0070,ORD0070,18-08-2026,3000,SETTLED
ST0071,ORD0071,09-08-2026,1200,SETTLED
ST0072,ORD0072,14-08-2026,500,SETTLED
ST0073,ORD0073,21-08-2026,1200,SETTLED
ST0074,ORD0074,09-08-2026,500,SETTLED
ST0075,ORD0075,22-08-2026,400,SETTLED
ST0076,ORD0076,05-08-2026,500,SETTLED
ST0077,ORD0077,04-08-2026,3500,SETTLED
ST0078,ORD0078,10-08-2026,3000,SETTLED
ST0079,ORD0079,21-08-2026,1000,SETTLED
ST0081,ORD0081,18-08-2026,1200,SETTLED
ST0082,ORD0082,15-08-2026,1200,SETTLED
ST0083,ORD0083,06-08-2026,2500,SETTLED
ST0084,ORD0084,16-08-2026,2500,SETTLED
ST0085,ORD0085,03-08-2026,750,SETTLED
ST0086,ORD0086,14-08-2026,2000,SETTLED
ST0087,ORD0087,09-08-2026,1200,SETTLED
ST0088,ORD0088,19-08-2026,3000,SETTLED
ST0089,ORD0089,16-08-2026,1000,SETTLED
ST0090,ORD0090,16-08-2026,1100,SETTLED
ST0091,ORD0091,16-08-2026,3500,SETTLED
ST0092,ORD0092,03-08-2026,3500,SETTLED
ST0093,ORD0093,04-08-2026,1200,SETTLED
ST0094,ORD0094,16-08-2026,3000,SETTLED
ST0095,ORD0095,08-08-2026,2500,SETTLED
ST0096,ORD0096,07-08-2026,2500,SETTLED
ST0097,ORD0097,15-08-2026,1500,SETTLED
ST0098,ORD0098,13-08-2026,2500,SETTLED
ST0099,ORD0099,19-08-2026,3000,SETTLED
ST0101,ORD0101,10-08-2026,500,SETTLED
ST0102,ORD0102,21-08-2026,500,SETTLED
